material,week,actual_demand,h_company_forecast,arima_forecast,arima_lstm_forecast
碟形弹簧,1,12922,13495,12536,12632
碟形弹簧,2,13697,13813,14336,13913
碟形弹簧,3,13108,12795,13273,13180
碟形弹簧,4,13210,13042,13383,13573
碟形弹簧,5,15020,15693,14372,14708
碟形弹簧,6,12318,13070,12699,12209
碟形弹簧,7,14044,13646,14675,14216
碟形弹簧,8,13235,13340,12905,13226
碟形弹簧,9,14547,15020,14279,14608
碟形弹簧,10,14042,13873,13587,13771
碟形弹簧,11,13059,13459,13593,13391
碟形弹簧,12,14891,15050,14330,14633
碟形弹簧,13,13481,14320,13134,13020
止推环,1,1882,1955,1860,1861
止推环,2,2114,2338,2084,2009
止推环,3,1878,1942,2200,2050
止推环,4,1700,1822,1814,1764
止推环,5,2511,2237,2378,2447
止推环,6,1856,1927,1794,1832
止推环,7,2200,2084,2307,2252
止推环,8,1908,2109,1974,1900
止推环,9,2128,2124,2116,2055
止推环,10,2028,2127,2184,2111
止推环,11,1863,1885,1974,1970
止推环,12,2472,2352,2286,2395
止推环,13,2139,2296,1969,2060
定位轴套,1,1213,1375,1339,1308
定位轴套,2,713,752,526,645
定位轴套,3,1360,1636,1326,1311
定位轴套,4,525,417,697,543
定位轴套,5,1018,859,981,902
定位轴套,6,878,959,1081,969
定位轴套,7,757,773,595,644
定位轴套,8,1150,1042,1330,1240
定位轴套,9,563,660,492,443
定位轴套,10,1035,863,1211,1014
定位轴套,11,543,695,750,575
定位轴套,12,860,620,819,807
定位轴套,13,1100,1128,1133,1081
